first_name,middle_name,last_name,email,role_id,site_name,rm_num,status
Maria,L,Gonzalez,m.gonzalez@school.edu,4,District Office,101,Active
James,,Nguyen,j.nguyen@school.edu,4,District Office,102,Active
Sandra,R,Patel,s.patel@school.edu,5,District Office,103,Active
Carlos,,Reyes,c.reyes@school.edu,3,District Office,104,Active
Priya,M,Kumar,p.kumar@school.edu,4,District Office,105,Active
David,,Chen,d.chen@school.edu,5,District Office,106,Active
Angela,J,Torres,a.torres@school.edu,2,District Office,107,Active
Kevin,,Okafor,k.okafor@school.edu,4,District Office,108,Active
Rachel,E,Martinez,r.martinez@school.edu,3,District Office,109,Active
Tiffany,,Williams,t.williams@school.edu,5,District Office,110,Active
